,count,mean,std,min,25%,50%,75%,max
0,10.0,34.25009,14.35424,15.93598,24.00136,31.77225,42.93777,58.94972
1,10.0,34.27926,14.35475,16.08328,23.89974,31.95091,42.84937,59.02088
2,10.0,34.20568,14.30854,16.28839,23.76994,32.1121,42.49361,59.01369
3,10.0,34.15292,14.28659,16.2515,23.82436,31.98259,42.46384,58.94825
4,10.0,34.24874,14.34809,16.01399,23.96995,31.8192,42.87631,58.97512
5,10.0,34.17158,14.28674,16.32028,23.74887,32.10048,42.41579,58.97971
6,10.0,34.17158,14.28674,16.32028,23.74887,32.10048,42.41579,58.97971
7,10.0,34.19712,14.30741,16.21793,23.81898,32.0427,42.53435,58.96474
8,10.0,34.18973,14.3164,16.13706,23.87834,31.92582,42.61116,58.94833
9,10.0,34.18027,14.29451,16.28952,23.76729,32.08989,42.45876,58.9972
10,10.0,34.17158,14.28674,16.32028,23.74887,32.10048,42.41579,58.97971
11,10.0,34.16467,14.28368,16.32028,23.75118,32.08978,42.41007,58.97971
12,10.0,34.1768,14.29569,16.26691,23.79023,32.05416,42.45996,58.94825
13,10.0,34.17158,14.28674,16.32028,23.74887,32.10048,42.41579,58.97971
14,10.0,34.15292,14.28659,16.2515,23.82436,31.98259,42.46384,58.94825
15,10.0,34.32438,14.4057,15.97529,23.9561,31.91268,42.98127,59.14031
16,10.0,34.10789,14.26459,16.25348,23.84097,31.91649,42.38547,58.86587
17,10.0,34.17158,14.28674,16.32028,23.74887,32.10048,42.41579,58.97971
18,10.0,34.30769,14.38604,16.04942,23.90915,31.95754,42.90226,59.10954
19,10.0,34.14092,14.27992,16.25253,23.82436,31.97319,42.44272,58.93075
20,10.0,34.17158,14.28674,16.32028,23.74887,32.10048,42.41579,58.97971
21,10.0,34.15292,14.28659,16.2515,23.82436,31.98259,42.46384,58.94825
22,10.0,34.24874,14.34809,16.01399,23.96995,31.8192,42.87631,58.97512
23,10.0,34.11631,14.26641,16.32125,23.78063,31.99495,42.34495,58.91226
24,10.0,34.27345,14.35782,16.01399,23.9519,31.87178,42.90563,58.99739
25,10.0,34.18022,14.30608,16.17238,23.8774,31.93152,42.57524,58.94833
26,10.0,34.29507,14.37622,16.01127,23.9519,31.89945,42.92346,59.05745
27,10.0,34.15292,14.286,16.29056,23.77836,32.0342,42.43016,58.97971
28,10.0,34.17158,14.28674,16.32028,23.74887,32.10048,42.41579,58.97971
29,10.0,34.17158,14.28674,16.32028,23.74887,32.10048,42.41579,58.97971
30,10.0,34.18912,14.30846,16.17348,23.85549,31.97011,42.58842,58.98022
31,10.0,34.25934,14.35233,16.01399,23.95462,31.84601,42.89484,58.99739
